Episode,Reward
0,-501.0
1,-501.0
2,-501.0
3,-501.0
4,-501.0
5,-501.0
6,-501.0
7,-501.0
8,-501.0
9,-501.0
10,-501.0
11,-501.0
12,-501.0
13,-501.0
14,-501.0
15,-501.0
16,-501.0
17,-501.0
18,-501.0
19,-501.0
20,-501.0
21,-501.0
22,-501.0
23,-501.0
24,-501.0
25,-501.0
26,-501.0
27,-501.0
28,-501.0
29,-501.0
30,-501.0
31,-501.0
32,-501.0
33,-501.0
34,-501.0
35,-501.0
36,-501.0
37,-501.0
38,-501.0
39,-501.0
40,-501.0
41,-501.0
42,-501.0
43,-501.0
44,-501.0
45,-501.0
46,-501.0
47,-501.0
48,-501.0
49,-501.0
50,-501.0
51,-501.0
52,-501.0
53,-501.0
54,-501.0
55,-501.0
56,-501.0
57,-501.0
58,-501.0
59,-501.0
60,-501.0
61,-501.0
62,-501.0
63,-501.0
64,-501.0
65,-501.0
66,-501.0
67,-501.0
68,-501.0
69,-501.0
70,-501.0
71,-501.0
72,-501.0
73,-501.0
74,-501.0
75,-501.0
76,-501.0
77,-501.0
78,-501.0
79,-501.0
80,-501.0
81,-501.0
82,-501.0
83,-501.0
84,-501.0
85,-501.0
86,-501.0
87,-501.0
88,-501.0
89,-501.0
90,-501.0
91,-501.0
92,-501.0
93,-501.0
94,-501.0
95,-501.0
96,-501.0
97,-501.0
98,-501.0
99,-501.0
100,-501.0
101,-501.0
102,-501.0
103,-501.0
104,-501.0
105,-501.0
106,-501.0
107,-501.0
108,-501.0
109,-501.0
110,-501.0
111,-501.0
112,-501.0
113,-501.0
114,-501.0
115,-501.0
116,-501.0
117,-501.0
118,-501.0
119,-501.0
120,-501.0
121,-501.0
122,-501.0
123,-501.0
124,-501.0
125,-501.0
126,-501.0
127,-501.0
128,-501.0
129,-501.0
130,-501.0
131,-501.0
132,-501.0
133,-501.0
134,-501.0
135,-501.0
136,-501.0
137,-501.0
138,-501.0
139,-501.0
140,-501.0
141,-501.0
142,-501.0
143,-501.0
144,-501.0
145,-501.0
146,-501.0
147,-501.0
148,-501.0
149,-501.0
150,-501.0
151,-501.0
152,-501.0
153,-501.0
154,-501.0
155,-501.0
156,-501.0
157,-501.0
158,-501.0
159,-501.0
160,-501.0
161,-501.0
162,-501.0
163,-501.0
164,-501.0
165,-501.0
166,-501.0
167,-501.0
168,-501.0
169,-501.0
170,-501.0
171,-501.0
172,-501.0
173,-501.0
174,-501.0
175,-501.0
176,-501.0
177,-501.0
178,-501.0
179,-501.0
180,-501.0
181,-501.0
182,-501.0
183,-501.0
184,-501.0
185,-501.0
186,-501.0
187,-501.0
188,-501.0
189,-501.0
190,-501.0
191,-501.0
192,-501.0
193,-501.0
194,-501.0
195,-501.0
196,-501.0
197,-501.0
198,-501.0
199,-501.0
200,-501.0
