Episode,Reward,Run
1,-500.0,4
2,-500.0,4
3,-500.0,4
4,-500.0,4
5,-500.0,4
6,-500.0,4
7,-500.0,4
8,-500.0,4
9,-500.0,4
10,-500.0,4
11,-500.0,4
12,-500.0,4
13,-500.0,4
14,-500.0,4
15,-500.0,4
16,-500.0,4
17,-500.0,4
18,-500.0,4
19,-500.0,4
20,-500.0,4
21,-500.0,4
22,-500.0,4
23,-500.0,4
24,-500.0,4
25,-500.0,4
26,-500.0,4
27,-500.0,4
28,-500.0,4
29,-500.0,4
30,-500.0,4
31,-500.0,4
32,-500.0,4
33,-500.0,4
34,-500.0,4
35,-500.0,4
36,-500.0,4
37,-500.0,4
38,-500.0,4
39,-500.0,4
40,-500.0,4
41,-500.0,4
42,-500.0,4
43,-500.0,4
44,-500.0,4
45,-500.0,4
46,-500.0,4
47,-500.0,4
48,-500.0,4
49,-500.0,4
50,-500.0,4
51,-500.0,4
52,-500.0,4
53,-500.0,4
54,-500.0,4
55,-500.0,4
56,-500.0,4
57,-500.0,4
58,-500.0,4
59,-500.0,4
60,-500.0,4
61,-500.0,4
62,-500.0,4
63,-500.0,4
64,-500.0,4
65,-500.0,4
66,-500.0,4
67,-500.0,4
68,-500.0,4
69,-500.0,4
70,-500.0,4
71,-500.0,4
72,-500.0,4
73,-500.0,4
74,-500.0,4
75,-500.0,4
76,-500.0,4
77,-500.0,4
78,-500.0,4
79,-500.0,4
80,-500.0,4
81,-500.0,4
82,-500.0,4
83,-500.0,4
84,-500.0,4
85,-500.0,4
86,-500.0,4
87,-500.0,4
88,-500.0,4
89,-500.0,4
90,-500.0,4
91,-500.0,4
92,-500.0,4
93,-500.0,4
94,-500.0,4
95,-500.0,4
96,-500.0,4
97,-500.0,4
98,-500.0,4
99,-500.0,4
100,-500.0,4
101,-500.0,4
102,-500.0,4
103,-500.0,4
104,-500.0,4
105,-500.0,4
106,-500.0,4
107,-500.0,4
108,-500.0,4
109,-500.0,4
110,-500.0,4
111,-500.0,4
112,-500.0,4
113,-500.0,4
114,-500.0,4
115,-500.0,4
116,-500.0,4
117,-500.0,4
118,-500.0,4
119,-500.0,4
120,-500.0,4
121,-500.0,4
122,-500.0,4
123,-500.0,4
124,-500.0,4
125,-500.0,4
126,-500.0,4
127,-500.0,4
128,-500.0,4
129,-500.0,4
130,-500.0,4
131,-500.0,4
132,-500.0,4
133,-500.0,4
134,-500.0,4
135,-500.0,4
136,-500.0,4
137,-500.0,4
138,-500.0,4
139,-500.0,4
140,-500.0,4
141,-500.0,4
142,-500.0,4
143,-500.0,4
144,-500.0,4
145,-500.0,4
146,-500.0,4
147,-500.0,4
148,-500.0,4
149,-500.0,4
150,-500.0,4
151,-500.0,4
152,-500.0,4
153,-500.0,4
154,-500.0,4
155,-500.0,4
156,-500.0,4
157,-500.0,4
158,-500.0,4
159,-500.0,4
160,-500.0,4
161,-500.0,4
162,-500.0,4
163,-500.0,4
164,-500.0,4
165,-346.0,4
166,-500.0,4
167,-500.0,4
168,-500.0,4
169,-500.0,4
170,-500.0,4
171,-500.0,4
172,-500.0,4
173,-500.0,4
174,-500.0,4
175,-500.0,4
176,-500.0,4
177,-500.0,4
178,-500.0,4
179,-500.0,4
180,-500.0,4
181,-500.0,4
182,-500.0,4
183,-500.0,4
184,-500.0,4
185,-500.0,4
186,-500.0,4
187,-500.0,4
188,-500.0,4
189,-500.0,4
190,-500.0,4
191,-500.0,4
192,-500.0,4
193,-500.0,4
194,-232.0,4
195,-220.0,4
196,-500.0,4
197,-500.0,4
198,-500.0,4
199,-259.0,4
200,-500.0,4
201,-500.0,4
202,-500.0,4
203,-397.0,4
204,-500.0,4
205,-500.0,4
206,-500.0,4
207,-500.0,4
208,-500.0,4
209,-500.0,4
210,-500.0,4
211,-247.0,4
212,-500.0,4
213,-500.0,4
214,-314.0,4
215,-500.0,4
216,-500.0,4
217,-374.0,4
218,-500.0,4
219,-500.0,4
220,-500.0,4
221,-500.0,4
222,-500.0,4
223,-500.0,4
224,-500.0,4
225,-500.0,4
226,-500.0,4
227,-500.0,4
228,-500.0,4
229,-500.0,4
230,-500.0,4
231,-500.0,4
232,-500.0,4
233,-500.0,4
234,-500.0,4
235,-500.0,4
236,-500.0,4
237,-500.0,4
238,-500.0,4
239,-500.0,4
240,-500.0,4
241,-500.0,4
242,-360.0,4
243,-500.0,4
244,-500.0,4
245,-500.0,4
246,-249.0,4
247,-500.0,4
248,-500.0,4
249,-500.0,4
250,-275.0,4
251,-500.0,4
252,-500.0,4
253,-348.0,4
254,-500.0,4
255,-500.0,4
256,-500.0,4
257,-500.0,4
258,-500.0,4
259,-500.0,4
260,-306.0,4
261,-500.0,4
262,-500.0,4
263,-500.0,4
264,-500.0,4
265,-119.0,4
266,-198.0,4
267,-311.0,4
268,-372.0,4
269,-500.0,4
270,-500.0,4
271,-218.0,4
272,-253.0,4
273,-162.0,4
274,-500.0,4
275,-500.0,4
276,-500.0,4
277,-500.0,4
278,-335.0,4
279,-282.0,4
280,-213.0,4
281,-190.0,4
282,-500.0,4
283,-500.0,4
284,-344.0,4
285,-500.0,4
286,-500.0,4
287,-500.0,4
288,-500.0,4
289,-500.0,4
290,-500.0,4
291,-382.0,4
292,-500.0,4
293,-500.0,4
294,-144.0,4
295,-150.0,4
296,-270.0,4
297,-500.0,4
298,-500.0,4
299,-500.0,4
300,-292.0,4
301,-154.0,4
302,-286.0,4
303,-237.0,4
304,-367.0,4
305,-500.0,4
306,-500.0,4
307,-500.0,4
308,-151.0,4
309,-254.0,4
310,-500.0,4
311,-500.0,4
312,-244.0,4
313,-311.0,4
314,-360.0,4
315,-500.0,4
316,-317.0,4
317,-257.0,4
318,-274.0,4
319,-385.0,4
320,-291.0,4
321,-257.0,4
322,-247.0,4
323,-204.0,4
324,-192.0,4
325,-379.0,4
326,-219.0,4
327,-145.0,4
328,-224.0,4
329,-500.0,4
330,-303.0,4
331,-177.0,4
332,-232.0,4
333,-228.0,4
334,-376.0,4
335,-500.0,4
336,-267.0,4
337,-500.0,4
338,-388.0,4
339,-142.0,4
340,-155.0,4
341,-370.0,4
342,-170.0,4
343,-180.0,4
344,-500.0,4
345,-142.0,4
346,-362.0,4
347,-167.0,4
348,-380.0,4
349,-500.0,4
350,-500.0,4
351,-309.0,4
352,-217.0,4
353,-500.0,4
354,-184.0,4
355,-302.0,4
356,-307.0,4
357,-139.0,4
358,-218.0,4
359,-229.0,4
360,-129.0,4
361,-290.0,4
362,-250.0,4
363,-239.0,4
364,-219.0,4
365,-500.0,4
